num_cars,frame,num_cars_time,colours,colours_time,car_type,car_type_time,,,Sedan,Hatchback,black,silver,red,white,blue,black,silver,red,white,blue,Q1_Time,Q2_time,Q3_time,black,silver,red,white,blue
1,152,0.210541,black,0.001561,hatchback,0.080432,,,0,1,1,0,0,0,0,0,0,0,0,0,0.385277,0.603727,0.607744,1,0,0,0,0
1,153,0.213866,black,0.001636,hatchback,0.207709,,,0,1,1,0,0,0,0,0,0,0,0,0,0.396365,0.93084,0.933944,1,0,0,0,0
1,154,0.210391,black,0.002418,hatchback,0.077433,,,0,1,1,0,0,0,0,0,0,0,0,0,0.3616,0.545733,0.547907,1,0,0,0,0
1,155,0.213822,black,0.001561,hatchback,0.076268,,,0,1,1,0,0,0,0,0,0,0,0,0,0.446038,0.663437,0.665374,1,0,0,0,0
1,156,0.211498,black,0.001641,hatchback,0.208521,,,0,1,1,0,0,0,0,0,0,0,0,0,0.440528,0.935589,0.938546,1,0,0,0,0
1,157,0.214363,black,0.001619,hatchback,0.075482,,,0,1,1,0,0,0,0,0,0,0,0,0,0.396182,0.60944,0.612809,1,0,0,0,0
1,158,0.213987,black,0.002419,hatchback,0.077219,,,0,1,1,0,0,0,0,0,0,0,0,0,0.379482,0.634196,0.638736,1,0,0,0,0
1,159,0.213523,black,0.00305,hatchback,0.212318,,,0,1,1,0,0,0,0,0,0,0,0,0,0.36371,0.900973,0.904932,1,0,0,0,0
1,160,0.210079,black,0.001654,hatchback,0.073834,,,0,1,0,1,0,0,0,0,0,0,0,0,0.385264,0.661972,0.664515,1,0,0,0,0
1,161,0.215128,silver,0.001659,hatchback,0.075962,,,0,1,0,1,0,0,0,0,0,0,0,0,0.414125,0.61472,0.616741,0,1,0,0,0
0,162,0.204921,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.323535,0.547289,0.547298,0,0,0,0,0
0,163,0.209704,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.425757,1.037528,1.037536,0,0,0,0,0
0,164,0.217257,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.47137,0.681884,0.681893,0,0,0,0,0
0,165,0.20741,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.51111,0.825152,0.825159,0,0,0,0,0
0,166,0.210399,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.532161,1.390082,1.390091,0,0,0,0,0
0,167,0.21151,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.623822,0.92662,0.926627,0,0,0,0,0
0,168,0.203122,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.534354,0.84153,0.841538,0,0,0,0,0
